"actseq"	"passeq"	"type"	"product"	"pp_ActiveMod"	"pp_PassiveMod"	"pp_NoProduct"	"pp_NewProduct"	"pp_Replicator"	"pp_SelfReplicator"	"pp_AutoReplicator"	"pp_Complex"	"pp_Jumper"	"bprob"	"nsteps"	"actlen"	"paslen"	"ccopy"	"cmove"	"cover"	"ctogg"	"oneway"	"nprod"	"dexec"	"dbind"	"nobs"	"np_MutualRepl"	"np_Parasite"	"np_Hypercycle"
"366"	"$=?C$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	176	31	27	54	52	27	1	TRUE	1	TRUE	TRUE	4	TRUE	FALSE	TRUE
"375"	"$=?>$BB^A=?>$EAUB^B$=?>$ZVBO%HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.644995	197	32	27	59	57	32	2	FALSE	0	TRUE	FALSE	3	FALSE	TRUE	FALSE
"378"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$R$"	"unknown"	"$=?>$R$"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	116	27	7	34	32	27	1	FALSE	1	TRUE	FALSE	14	FALSE	TRUE	FALSE
"393"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^BZ$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^BZ$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	179	27	28	55	53	27	1	FALSE	1	TRUE	FALSE	1	TRUE	FALSE	TRUE
"404"	"$=?>$$$=?$$DBB$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.644995	98	27	27	27	26	27	0	FALSE	0	TRUE	FALSE	1	FALSE	TRUE	FALSE
"439"	"$=?>$DBVB^AD==?QAVB^B$=?>$ZVBO%OHOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.644995	208	35	27	62	60	35	2	FALSE	0	FALSE	FALSE	5	FALSE	TRUE	FALSE
"469"	"$=?>$RD"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.644995	24	7	27	7	6	7	0	FALSE	0	TRUE	FALSE	3	FALSE	TRUE	FALSE
"569"	"$=?>$T?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	176	27	27	54	52	27	1	FALSE	1	TRUE	FALSE	2	TRUE	FALSE	TRUE
"610"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?Q$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?Q$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	176	27	27	54	52	27	1	FALSE	1	TRUE	FALSE	2	FALSE	TRUE	FALSE
"615"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$DBVB^A$=?>CEAUB^$$=?>$V"	"unknown"	"$=?>$DBVB^A$=?>CEAUB^$$=?>$V"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	179	27	28	55	53	27	1	FALSE	1	TRUE	FALSE	1	FALSE	TRUE	FALSE
"633"	"$=?>$=?$EZUB^B$=?>$ABO%OHOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	180	27	27	54	52	27	1	FALSE	1	TRUE	FALSE	3	TRUE	FALSE	TRUE
"673"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUQB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUQB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	179	27	28	55	53	27	1	FALSE	1	TRUE	FALSE	2	TRUE	FALSE	TRUE
"675"	"$=?>DZVBOHOBB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.69541	48	13	27	13	12	13	0	FALSE	0	TRUE	FALSE	3	FALSE	TRUE	FALSE
"719"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.595643	173	27	26	53	51	27	1	FALSE	1	TRUE	FALSE	2	TRUE	FALSE	TRUE
"771"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?R$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?R$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	176	27	27	54	52	27	1	FALSE	1	TRUE	FALSE	1	FALSE	TRUE	FALSE
"784"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%OHOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%OHOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	176	27	27	54	52	27	1	FALSE	1	TRUE	FALSE	2	TRUE	FALSE	TRUE
"796"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$DBB^A=?>$EAUB^BC=?>$ZVBO%HOB$$$$$$$$$$"	"unknown"	"$=?>$DBB^A=?>$EAUB^BC=?>$ZVBO%HOB$$$$$$$$$$"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	224	27	43	70	68	27	1	FALSE	1	TRUE	FALSE	1	FALSE	TRUE	FALSE
